EPA Region,State,# of Majors in ICIS-NPDES,# of Non-Majors in ICIS-NPDES,# of Majors w/ Pollutant Loadings,# of Non-Majors w/ Pollutant Loadings,% of Majors w/ Pollutant Loadings,% of Non-Majors w/ Pollutant Loadings,Total Pollutant Pounds (lb/yr) for Majors,Total Pollutant Pounds (lb/yr) for Non-Majors,Total Toxic-Weighted Pounds (lb-eq/yr) for Majors,Total Toxic-Weighted Pounds (lb-eq/yr) for Non-Majors
4,ALABAMA,183,1500,183,923,100,61.53333333,1118607944,2161429502,242919.5858,592128.5231
10,ALASKA,43,34,36,21,83.72093023,61.76470588,141409203.3,25504248.1,38092.29004,1737.183198
9,AMERICAN SAMOA,4,2,4,1,100,50,4461419.091,0,389.059349,0
9,ARIZONA,80,129,72,115,90,89.14728682,1294968526,72997083.65,209947.153,56650.96793
6,ARKANSAS,119,710,118,709,99.15966387,99.85915493,456023619.1,27744053.14,79639.57197,7394.900469
9,CALIFORNIA,263,316,235,240,89.35361217,75.94936709,3439107310,3323060.606,507038578,152.854024
8,COLORADO,128,452,122,256,95.3125,56.63716814,267476722.8,104678031.3,50092.44489,95349.99155
1,CONNECTICUT,95,77,95,75,100,97.4025974,30742614.35,103254167.7,910819.7186,8299.003287
3,DELAWARE,18,33,17,30,94.44444444,90.90909091,95684521.94,546210.179,283583.8607,2287.923877
3,DISTRICT OF COLUMBIA,4,7,4,5,100,71.42857143,10986819.84,6086.61011,8497.571637,0.591784357
4,FLORIDA,292,317,189,272,64.7260274,85.8044164,2667467554,258850259.4,1035142.025,41797.74637
4,GEORGIA,202,652,198,505,98.01980198,77.45398773,167108685.2,135147401,391811812.8,514636.3545
9,GUAM,5,13,5,13,100,100,11680612.89,109852.2932,517.1154732,2830.803395
6,GULF OF MEXICO,,3,,2,,66.66666667,,0,,0
4,GULF OF MEXICO EAST,,1,,0,,0,,,,
9,HAWAII,19,123,17,34,89.47368421,27.64227642,55253893.97,4445670.378,104421.6114,955.7694547
10,IDAHO,38,140,37,122,97.36842105,87.14285714,80904429.03,12401716.96,65522.2291,7221.949807
5,ILLINOIS,274,1345,274,1241,100,92.26765799,371650839.8,3063018558,3795643.949,268147.2579
5,INDIANA,194,1413,193,1286,99.48453608,91.01203114,2110766649,94266540.99,1143924.842,50675.67163
7,IOWA,142,1498,131,1048,92.25352113,69.9599466,10748651.21,100518855.8,49546.93243,3276.949758
7,KANSAS,57,1746,57,630,100,36.08247423,205576970.4,56272707.98,5550963.389,5207.821249
4,KENTUCKY,143,1720,141,1622,98.6013986,94.30232558,321083348.3,237971005,203719.6196,104833.9423
6,LOUISIANA,241,1208,235,575,97.51037344,47.59933775,5280479169,9602739.715,984972.4819,70207.1873
1,MAINE,76,384,72,217,94.73684211,56.51041667,88666338.08,5150762.807,20939.68744,360641.7475
9,MARIANA ISLANDS,2,4,2,3,100,75,356803.593,121191093.8,231.6661277,0.023880593
3,MARYLAND,97,835,83,472,85.56701031,56.52694611,40913456.19,54725558.21,219326.1913,200311.5768
1,MASSACHUSETTS,123,132,118,118,95.93495935,89.39393939,168027163.4,10081160,368661.7506,26511.75578
5,MICHIGAN,192,508,186,435,96.875,85.62992126,940315385.2,84567228.99,491018.0119,58085.50233
5,MINNESOTA,104,682,99,217,95.19230769,31.81818182,2335185752,5950189.091,2141665.801,22394.55944
4,MISSISSIPPI,96,1292,96,1221,100,94.50464396,64811172.18,686135330.9,69995.0774,28645.97531
7,MISSOURI,179,3015,176,2570,98.32402235,85.24046434,296182900.4,3360656793,619508.6662,19138400.11
8,MONTANA,34,167,34,160,100,95.80838323,140908349.1,23162111.58,15096.96793,2397.948779
7,NEBRASKA,53,685,53,597,100,87.15328467,85069435.61,1760692592,31579.7674,492835.5362
9,NEVADA,14,114,11,77,78.57142857,67.54385965,629054010.5,0,8108.58723,0
1,NEW HAMPSHIRE,49,38,48,36,97.95918367,94.73684211,21286238.63,356781.3184,528530.5885,835.3978419
2,NEW JERSEY,138,84,138,61,100,72.61904762,282885346.1,43971.10557,190792.4856,15.43878172
6,NEW MEXICO,37,111,37,107,100,96.3963964,30106039.48,15688817.9,9193.74645,66133.88343
2,NEW YORK,326,1256,324,1088,99.38650307,86.62420382,1085976588,169078908.5,1602801.385,55490.58387
4,NORTH CAROLINA,228,1280,220,948,96.49122807,74.0625,314773521.1,202098727.8,463470.5681,205179.9876
8,NORTH DAKOTA,25,97,25,40,100,41.2371134,61375990.53,0,17534.05521,0
5,OHIO,295,3156,295,3012,100,95.43726236,3653298868,9632151051,1331045.597,857343403.4
6,OKLAHOMA,104,398,104,394,100,98.99497487,278002653.7,320663895.4,57731.61348,6895.919266
10,OREGON,74,301,66,181,89.18918919,60.13289037,53564696.52,31085.7067,34066.42181,507.7937858
3,PENNSYLVANIA,410,4098,400,669,97.56097561,16.3250366,2210443451,66278707.99,18779804.04,12817.32284
