"State Statistics and Loadings"
"Search Criteria:  Reporting year = 2018"

"EPA Region","State","# of Majors in ICIS-NPDES","# of Non-Majors in ICIS-NPDES","# of Majors w/ Pollutant Loadings","# of Non-Majors w/ Pollutant Loadings","% of Majors w/ Pollutant Loadings","% of Non-Majors w/ Pollutant Loadings","Total Pollutant Pounds (lb/yr) for Majors","Total Pollutant Pounds (lb/yr) for Non-Majors","Total Toxic-Weighted Pounds (lb-eq/yr) for Majors","Total Toxic-Weighted Pounds (lb-eq/yr) for Non-Majors"
"04","ALABAMA",177,1231,175,1102,98.87005649717514124293785310734463276836,89.52071486596263200649878147847278635256,1627342877.545121778146897373427628904545,667486330.452863234111995803310950108784,381050.2502650491141330050932529937055646,2821504.43060878141928173780427817984486
"10","ALASKA",42,45,38,32,90.47619047619047619047619047619047619048,71.11111111111111111111111111111111111111,87489747.2409830067814287258688669691135,7684021.24876794283620916184461365023738,45103.8317839307484298027150856927128169,401.657031837051959589666505131656421467
"09","AMERICAN SAMOA",4,2,4,1,100,50,8025144.993997185100784045131614,16010.513549417922442958377527795,806.15904936288970600714696992,1.32896739999999990238734447
"09","ARIZONA",74,100,66,96,89.18918918918918918918918918918918918919,96,1014362821.289402394932389431855609545455,14800642.14008977444782612384377609995534,977200.9839826953412955330686947750190909,5997.419533236287877146833666277826326402
"06","ARKANSAS",116,683,116,679,100,99.41434846266471449487554904831625183016,507853820.366960229099513910307847368727,293523941.128254665588096998953251849112,395655.0751581369052794626107856075230197,18540.1407978028342527179024935513162571
"09","CALIFORNIA",245,224,229,204,93.46938775510204081632653061224489795918,91.07142857142857142857142857142857142857,3311532745.535817865591839425999476855111,352950798.009208476539370909977456247018,66703748.96083111012282193622693281400544,383682379.573834958673102955134875712934
"08","COLORADO",126,448,120,284,95.23809523809523809523809523809523809524,63.39285714285714285714285714285714285714,409248462.345576409866480313438848698918,345699155.304845114560413303103106105819,314176.4427379144351519825766096666475997,10465.7725007106076721495573969009828182
"01","CONNECTICUT",86,66,86,64,100,96.96969696969696969696969696969696969697,41812653.42586964120150335260696091850639,54747821.69997968327735916127533604215783,830623.5989311458468445045526700559546554,2584.21429444067286765548318377927724743
"03","DELAWARE",18,31,17,28,94.44444444444444444444444444444444444444,90.32258064516129032258064516129032258065,9730925.018624293216851409538709,315068.2448487261318973113937573790454545,450740.9409203660771140255796129316762864,733.210431137349484959915957226314938374
"03","DISTRICT OF COLUMBIA",4,7,4,5,100,71.42857142857142857142857142857142857143,11631431.70968431052724659621684595141477,33426.8963623827004806839901863496272727,4332.480532530814102033258905649905,22.3402571083904862569490495817767
"04","FLORIDA",407,276,172,239,42.26044226044226044226044226044226044226,86.59420289855072463768115942028985507246,3216583974.50905330368206152924937572861,199990912.882200399351090128498617161755,530042.5226188877460572365616011292034834,292633.8301050508321060252859976363168114
"04","GEORGIA",204,582,195,494,95.58823529411764705882352941176470588235,84.8797250859106529209621993127147766323,215478587.065163215078537818496215971919,16100647.0413522266915568027401997200783,657740.2613199484053637474309098618688052,11138.2455479691493269063725235950421218
"09","GUAM",4,13,4,12,100,92.30769230769230769230769230769230769231,5054557.83513153651822827686363636363636,2512631.23963973890387169031580909090909,1597.2750286670005429688507566125,6443.871863705847866019822928984649045455
"06","GULF OF MEXICO",,1,,0,,0,,,,
"09","HAWAII",18,350,17,45,94.44444444444444444444444444444444444444,12.85714285714285714285714285714285714286,51935444.99393243118525397556440842211364,7092274.75299639535598094124131370930706,897073.9675607027111001499937221235358014,38322.6622550989936480750224467757930983
"10","IDAHO",38,128,37,110,97.36842105263157894736842105263157894737,85.9375,99689386.60284146336045720301985662,4283562.8473769108603414128286584511986,10154.6820558275840910802468962444436364,2372.382138680626586875101659422845269146
"05","ILLINOIS",271,1259,270,1179,99.63099630996309963099630996309963099631,93.64575059571088165210484511517077045274,795442687.374393556545843391517373143835,594024950.872950753650359043538185189787,2637845.04463944782754449422467058276133,184357.5215098553156405964393499811228684
"05","INDIANA",192,12006,192,1190,100,9.91171081126103614859237048142595368982,1678796067.881191944123061264409162286784,190347508.07568109524169056403044991138,698364.0008522573983692645493887572233253,24104.927748806569257748768762568148127
"07","IOWA",141,1488,139,1167,98.5815602836879432624113475177304964539,78.42741935483870967741935483870967741935,97062909.38126120524302367824073624562728,169020035.714177700496751745017340156139,78462.5888280056718616809337282903377692,4041704.83011702465166665762080281436094
"07","KANSAS",60,1372,60,689,100,50.21865889212827988338192419825072886297,192998660.235544967616640361532237272728,57069843.52951077262928913056497716860944,59472.8890512267490575877878347925345483,8459.462140179369219517007711122779903618
"04","KENTUCKY",138,1443,136,1405,98.55072463768115942028985507246376811594,97.36659736659736659736659736659736659737,512205041.59142080887302219992976406068,403548004.780175710654628111206128358907,2022629.65688066430457735904539060096546,158236.6495373195411401753243798648476944
"06","LOUISIANA",240,1056,239,1010,99.58333333333333333333333333333333333333,95.64393939393939393939393939393939393939,45467919806.0378452056818972021182380991,2489687101.103086425642031969822427378575,1965997.98522550057241630671109984038152,154327.5167380797231624071207399578621658
"01","MAINE",74,332,71,194,95.94594594594594594594594594594594594595,58.43373493975903614457831325301204819277,86152835.67293492778864741485341898169233,1329571.95884032426818058883957388080178,14897.2849456156589035572546355784171249,2174.858978404417631886106284785623545251
"09","MARIANA ISLANDS",2,3,2,2,100,66.66666666666666666666666666666666666667,710551.29647890145102361345,297.908631206607601435976509090909090909,0,1.63436954513792451975
"03","MARYLAND",94,419,81,366,86.17021276595744680851063829787234042553,87.35083532219570405727923627684964200477,56190503.82416905977483894443165247274975,80151243.37710621134013287117017400288418,874565.2528574943896430861046971987500256,45399.1201755849340857843988267658066917
"01","MASSACHUSETTS",119,110,113,102,94.95798319327731092436974789915966386555,92.72727272727272727272727272727272727273,2764102947.571691253531182562568456791872,505113159.260411903308366082054581610829,762891.5529364816325238464522400054489813,51169.2276381350955789153275130366565599
"05","MICHIGAN",193,453,183,361,94.81865284974093264248704663212435233161,79.69094922737306843267108167770419426049,983675517.110468293298546373233585914367,488836280.519014177337097012797090970564,1439858.90973121006045488121884164480171,1715891823.73435054494375780985414522637
"05","MINNESOTA",102,637,100,230,98.03921568627450980392156862745098039216,36.10675039246467817896389324960753532182,2504102557.704205845709300966668837088499,56360765.50924050882744723462070909973993,155156.2456221631790070945607659207758434,932.519039500328481598305770155458484091
"04","MISSISSIPPI",91,1156,91,1091,100,94.37716262975778546712802768166089965398,48553509.48928684013927696229919057325455,160922297.134261799118031383785689510864,34013.0469250829943692676866945646686298,33146.0420348020136423247122143747842788
"07","MISSOURI",178,2627,178,2274,100,86.56261895698515416825275980205557670346,478430288.763291717496915852748419692773,12191593072.4454748532315512600135258963,2066009.02589276950082527678323103446189,20842137.85374908168637177198884030596092
"08","MONTANA",33,158,33,146,100,92.40506329113924050632911392405063291139,118703107.008308022338038139679046072156,51672747.93841723127811477935784143404137,11760.1537217288759643454516815422691292,84044.0065524946540252702949144574938963
"07","NEBRASKA",52,635,51,561,98.07692307692307692307692307692307692308,88.34645669291338582677165354330708661417,349449440.443236577180270860129061363636,860645878.087498085103789229861378281983,33862.5659436086830206331435142504454545,172470.9018434746139152368015189467929082
"09","NEVADA",14,90,10,73,71.42857142857142857142857142857142857143,81.11111111111111111111111111111111111111,570147910.596342578114071872432381954545,105916922.459404368805967285112795630821,10413.1796534399325484436013093279722727,9446.695890913728295337046335527313809605
